label,Message
1,congratulations youve gift card click to claim
0,dont forget meet tomorrow
1,select limit time offer act
0,project deadline next friday please submit work
1,urgent account compromis reset password immediately
0,notes last class
1,earn money home experience need
0,please review attach document provide feedback
1,preapprov lowinterest loan apply today
0,lets catch over coffee sometime this week
1,final warn subscription expir renew to avoid los access
0,server maintenance schedul tonight
1,get free trial premium service
0,team meet reschedul to pm
1,exclusive deal buy one get one free limit time
0,package delivery today
1,youve chosen to receive complimentary vacation package
0,please update availability next weeks meet
1,win big enter sweepstakes chance to win car
0,send updat report
1,dont miss get off next purchase
0,flight confirm next thursday
1,claim free iphone
0,budget meet set next monday
1,youve select free gift card claim yours
0,please find attach minutes last meet
1,urgent paypal account limit click to resolve
0,look forward to lunch meet tomorrow
1,get rich quick this amaz opportunity
0,client meet schedul pm tomorrow
1,earn day this simple trick
0,subscription to newsletter confirm
1,warn account suspend unless verify
0,please let know youre available call
1,wont believe these discounts shop
0,new product launch next week
1,congratulations youve select special offer
0,dont forget to send invoice friday
1,get free sample today strings attach
0,quarterly report due next monday
1,unclaim reward wait redeem
0,webinar schedul pm tomorrow
1,important confirm account information immediately
0,review attach file provide feedback
1,this investment opportunity wont last long act
0,train session start
1,loan application preapprov apply
0,please send availability next weeks meet
1,eligible limitedtime discount shop today
0,conference call schedul tomorrow
1,dont miss these exclusive offers
0,please review attach contract before sign
1,youve preselect special discount
0,team out plann this friday
1,act to claim free gift
0,client confirm meet next tuesday
1,urgent verify account to avoid suspension
0,please find attach agenda tomorrows meet
1,youre winner claim prize
0,monthly report due end week
1,exclusive get free gift purchase
0,please provide feedback draft document
1,youve select free cruise click to claim
0,market team meet tomorrow
1,dont miss this amaz offer
0,participation survey appreciat
1,act fast to secure limitedtime offer
0,please update project status end day
1,congratulations youre eligible free gift
0,department conduct maintenance tonight
1,youve free vacation claim
0,please review attach spreadsheet accuracy
1,limitedtime offer get off
0,next team meet schedul wednesday
1,youve preapprov credit card apply
0,send latest version document
1,get free trial service today
0,client request update project
1,exclusive deal buy one get one free
0,please confirm attendance workshop
1,youve select to win brand new car
0,sales report due end day
1,act to get free gift purchase
0,market strategy meet tomorrow pm
1,youre eligible free iphone claim
0,please review attach file provide input
1,hurry this offer wont last long
0,finance team needs report thursday
1,youve preselect special offer
0,join conference call pm
1,get free sample today purchase necessary
0,client presentation schedul next week
1,youre winner redeem prize
0,team complet project time
1,limitedtime offer act
0,deadline project extend to next monday
1,earn rewards fast this amaz program
0,review attach proposal before meet
1,claim exclusive offer today limit time
0,next teambuild event schedul friday
1,congratulations youve free gift card
0,please see attach agenda tomorrows meet
1,get off items shop
0,sales figures last quarter finaliz
1,act to receive exclusive discount
0,office clos next monday holiday
1,youre eligible cash bonus claim yours
0,please provide availability next meet
1,get paid to work home experience requir
0,client approv design proposal
1,final notice account suspend unless verify
0,please update status tasks end day
1,youve select to win luxury vacation
0,send final version report
1,urgent verify bill information to avoid service disruption
0,budget review meet schedul tomorrow
1,claim free trial premium service today
0,please review attach document accuracy
1,get rich quick this simple online business
0,market campaign launch successfully
1,congratulations youve select special promotion
0,please confirm attendance client meet
1,youve new smartphone click to claim
0,department perform maintenance tonight
1,final warn subscription expir soon
0,provide feedback draft presentation
1,youve preapprov personal loan
0,team work final touches project
1,dont miss this exclusive offer
0,please join conference call tomorrow
1,youre winner redeem prize today
0,project timeline updat please review
1,get off next purchase act
0,monthly performance review schedul next week
1,youve chosen to receive complimentary gift
0,please review attach spreadsheet errors
1,important update account information to avoid suspension
0,sales report due end week
1,youve free vacation claim
0,client request meet next tuesday
1,get free gift purchase today
0,team meet mov to pm
1,youve preselect credit card apply
0,please find attach minutes yesterdays meet
1,exclusive deal buy one get one free
0,team updat server tonight
1,final notice account risk be suspend
0,confirm availability workshop
1,act to claim free iphone
0,market strategy session tomorrow
1,youre eligible special discount shop
0,please update project plan new timeline
1,urgent account compromis reset password immediately
0,quarterly financial review schedul next friday
1,congratulations youve free laptop
0,send latest draft proposal
1,dont miss these amaz discounts
0,client meet confirm next wednesday
1,get paid to take surveys online experience requir
0,please review attach file before meet
1,youve preapprov car loan apply
0,project kickoff meet tomorrow
1,youre eligible free gift claim today
0,department upgrad system tonight
1,final warn update account to avoid suspension
0,please find attach report review
1,earn money online this simple trick
0,team prepar client presentation
1,get free trial service today
0,budget meet schedul next monday
1,youve select exclusive offer claim
0,please confirm attendance team meet
1,youre winner claim prize today
0,market team complet campaign
1,important update bill information to avoid service disruption
0,department conduct maintenance tonight
1,youve free tablet claim
0,please review attach document provide feedback
1,get off next purchase act fast
0,project deadline extend to next friday
1,youve preselect special promotion
0,client confirm meet next thursday
1,act to receive exclusive discount
0,please find attach file review
1,youve chosen to receive complimentary gift
0,sales report due end day
1,get free gift purchase today
0,please update status tasks tomorrow
1,congratulations youve new laptop
0,team meet tomorrow
1,final notice update account to avoid suspension
0,please submit timesheet end day
1,wont believe these exclusive deals shop
0,client presentation schedul next tuesday
1,win free vacation to tropical destination
0,weekly status report due pm
1,earn money fast this simple method
0,meet agenda sent to email
1,account select special promotion
0,please find attach project plan review
1,act to claim free gift card
0,department updat software tonight
1,final notice account suspend unless verifi
0,client request changes to proposal
1,get off items limit time offer
0,please confirm attendance train session
1,congratulations youve free gift card
